name,description,sku,price,category,active
Wireless Mouse,Ergonomic wireless mouse with USB receiver,WM123,19.99,Accessories,True
Gaming Keyboard,Mechanical gaming keyboard with RGB lighting,GK456,59.99,Keyboards,True
27-inch Monitor,Full HD LED monitor with anti-glare screen,MON789,179.99,Monitors,True
USB-C Hub,Multi-port USB-C hub with HDMI and USB 3.0,HUB001,29.99,Accessories,True
External SSD 1TB,Portable high-speed 1TB SSD,SSD100,129.99,Storage,True
Bluetooth Headphones,Noise-canceling over-ear Bluetooth headphones,BTH200,89.99,Audio,True
Wireless Charger,Fast wireless charger for smartphones,WC300,24.99,Chargers,True
Smartwatch,Fitness tracking smartwatch with heart rate monitor,SW400,99.99,Wearables,True
Laptop Stand,Adjustable aluminum laptop stand,LS500,39.99,Accessories,True
Portable Speaker,Waterproof Bluetooth speaker with deep bass,PS600,49.99,Audio,True
